artist_name,similar_artist_name,rank,0,1
,,,Isaac Delusion,"['Kid Francescoli', 'Agar Agar', 'Papooz', 'Bon Entendeur', 'Poolside']"
,,,Q-Tip,"['A Tribe Called Quest', 'Slum Village', 'De La Soul', 'Common', 'The Roots']"
,,,The Chemical Brothers,"['Fatboy Slim', 'The Crystal Method', 'The Prodigy', 'Propellerheads', 'Leftfield']"
,,,William Fitzsimmons,"['Joshua Radin', 'Benjamin Francis Leftwich', 'Donovan Woods', 'Old Sea Brigade', 'Stu Larsen']"
,,,amatria,"['ELYELLA', 'Angel Stanich', 'Grises', 'was', 'Carmen Boza']"
,,,The Milk Carton Kids,"['Watchhouse', 'Josh Ritter', 'Mandolin Orange', 'Gregory Alan Isakov', 'Sarah Jarosz']"
,,,Ziggy Alberts,"['Sons of the East', 'Ocie Elliott', 'Riley Pearce', 'Ryan Harris', 'Xavier Rudd']"
,,,La Maravillosa Orquesta del Alcohol,"['Xoel López', 'Guitarricadelafuente', 'Rozalén', 'Nacho Vegas', 'Anni B Sweet']"
,,,Sidonie,"['Lori Meyers', 'Supersubmarina', 'Izal', 'Miss Caffeina', 'Love of Lesbian']"
,,,Mammal Hands,"['Portico Quartet', 'GoGo Penguin', 'Matthew Halsall', 'Foehn Trio', 'Vega Trails']"
,,,Hanson,"['Aaron Carter', 'Backstreet Boys', 'O-Town', 'Nick Carter', '98 Degrees']"
,,,The Noises,"['Grises', 'Jero Romero', 'Dinero', 'Correos', 'Napoleon Solo']"
,,,Sampha,"['SBTRKT & Sampha', 'NxWorries', 'Anderson .Paak', 'James Blake', 'Smino']"
,,,Buck Meek,"['Big Thief', 'Lomelda', 'Adrianne Lenker', 'Adrianne Lenker & Buck Meek', 'Twain']"
,,,Villagers,"['John Grant', 'James Vincent McMorrow', 'Nick Mulvey', 'Fionn Regan', 'Lisa Hannigan']"
,,,The Avener,"['Synapson', 'Kungs', 'Feder', 'Møme', 'Jabberwocky']"
,,,Pegase,"['Isaac Delusion', 'Kid Francescoli', 'Las Aves', 'Tample', 'Scratch Massive']"
,,,Mac DeMarco,"['LOVING', 'Current Joys', 'VACATIONS', 'HOMESHAKE', 'TV Girl']"
,,,Cigarettes After Sex,"['Strawberry Guy', 'Bubble Tea and Cigarettes', 'Dream, Ivory', 'Cemeteries', 'Salvia Palth']"
,,,,[]
,,,Generis,"['New Limit', 'Aldus Haza', 'Committe', 'Kike Boy', 'Emotional G']"
,,,Los Flechazos,"['Cooper', 'Brighton 64', 'la granja', 'La Costa Brava', ""Surfin' Bichos""]"
,,,Fink,"['Ane Brun', 'Sophie Zelmani', 'Angus & Julia Stone', 'Kari Bremnes', 'Nick Mulvey']"
,,,Cemeteries,"['Ruby Haunt', 'Acid Ghost', ""Dreams We've Had"", 'Foxes in Fiction', 'Dream, Ivory']"
,,,Two Door Cinema Club,"['The Wombats', 'Foster the People', 'Phoenix', 'Saint Motel', 'Last Dinosaurs']"
,,,Shinova,"['Supersubmarina', 'Vetusta Morla', 'Sexy Zebras', 'Second', 'Love of Lesbian']"
,,,Ken Stringfellow,"['Jon Auer', 'Chris von Sneidern', 'The Primary 5', 'Owsley', 'Wondermints']"
,,,Charlie Cunningham,"['Blanco White', 'Dustin Tebbutt', 'Old Sea Brigade', 'Nick Mulvey', 'Jesse Marchant']"
,,,Jorge Drexler,"['Lisandro Aristimuño', 'El Kanka', 'Silvio Rodríguez', 'Pedro Guerra', 'No Te Va Gustar']"
,,,The Staves,"['Laura Marling', 'This Is the Kit', 'Lucy Rose', 'First Aid Kit', 'Fionn Regan']"
,,,Axel Flóvent,"['Old Sea Brigade', 'Aaron Espe', 'Haux', 'Lowswimmer', 'Matthew and the Atlas']"
,,,Miss Caffeina,"['Viva Suecia', 'Lori Meyers', 'Sidonie', 'Supersubmarina', 'Varry Brava']"
,,,Dombrance,"['Papooz', 'Poolside', 'Husbands', 'Oracle Sisters', 'Electric Guest']"
,,,Megabass,"['Two Little Boys', 'Nacho Division', 'High Density', ""Smart E's"", 'The Hypnotist']"
,,,Faada Freddy,"['Lass', ""Youssou N'Dour"", 'Aloe Blacc', 'Daara J Family', 'Izo FitzRoy']"
,,,Full,"['Anabel Lee', 'Pantones', 'Aerolíneas Federales', 'caballo prieto azabache', 'Go Roneo']"
,,,Dorian,"['Lori Meyers', 'Sidonie', 'Love of Lesbian', 'Viva Suecia', 'Miss Caffeina']"
,,,José González,"['Junip', 'Alexi Murdoch', 'Ben Howard', 'S. Carey', 'Nick Mulvey']"
,,,Antílopez,"['El Niño de La Hipoteca', 'Mr. Kilombo', 'Juanito Makandé', 'El Canijo de Jerez', 'Pedro Pastor']"
,,,2 In A Room,"['49ers', 'Black Box', 'Technotronic', 'Adamski', 'Snap!']"
,,,Leiva,"['Pereza', 'Arde Bogotá', 'Sidecars', 'Fito Y Fitipaldis', 'Dani Martín']"
,,,Vampire Weekend,"['Rostam', 'Phoenix', 'Arcade Fire', 'The Shins', 'Ra Ra Riot']"
,,,Second,"['Viva Suecia', 'Lori Meyers', 'Shinova', 'Supersubmarina', 'Izal']"
,,,Round,"['Mistakes Are Ok', 'Alex Burkat', ""Paradise's Deep Groove"", 'Bostro Pesopeo & Pional', 'Samo DJ']"
,,,Ezéchiel Pailhès,"['Chapelier Fou', 'Palatine', 'Johan Papaconstantino', 'Zoufris Maracas', 'Flavien Berger']"
,,,Lori Meyers,"['Sidonie', 'Viva Suecia', 'Supersubmarina', 'Izal', 'Love of Lesbian']"
,,,The Paper Kites,"['Dustin Tebbutt', 'Gregory Alan Isakov', 'Hollow Coves', 'Harrison Storm', 'Ocie Elliott']"
,,,Novo Amor,"['Lowswimmer', 'Jolé', 'Hollow Coves', 'Harrison Storm', 'Gregory Alan Isakov']"
,,,Roo Panes,"['Stu Larsen', 'Benjamin Francis Leftwich', 'Nick Mulvey', 'Matthew and the Atlas', 'Dustin Tebbutt']"
,,,The Nativos,"['Pistones', 'Glutamato Ye-Ye', 'La Dama Se Esconde', 'Rey Lui', 'La Coartada']"
,,,José James,"['Gregory Porter', 'Kandace Springs', 'Lizz Wright', 'Dominique Fils-Aimé', 'Cassandra Wilson']"
,,,El Kanka,"['Muerdo', 'Jorge Drexler', 'Rozalén', 'Pedro Guerra', 'Rupatrupa']"
,,,Makaw,"['Seavera', 'Young And Dramatic', 'SAATSUMA', 'Holiday Party']"
,,,Fiesta pop,"['The Refrescos', 'Los Inhumanos', 'Alarma', 'Los Rebeldes', 'David Otero']"
,,,Washed Out,"['Small Black', 'Neon Indian', 'Brothertiger', 'Blackbird Blackbird', 'MillionYoung']"
,,,Varry Brava,"['Miss Caffeina', 'Sidonie', 'Viva Suecia', 'Lori Meyers', 'Izal']"
,,,Salvia Palth,"['sign crushes motorist', 'birth day', 'Take Care', 'dandelion hands', 'Hold']"
,,,Anni B Sweet,"['Lori Meyers', 'La Bien Querida', 'Zahara', 'Izal', 'Russian Red']"
,,,Jordan Rakei,"['Tom Misch', 'Oscar Jerome', 'Aaron Taylor', 'Charlotte Day Wilson', 'Moonchild']"
,,,Sports,"['Tokyo Tea Room', 'No Vacation', 'Beach Vacation', 'RICEWINE', 'Vansire']"
,,,This Is the Kit,"['Rozi Plain', 'Jesca Hoop', 'Laura Marling', 'The Staves', 'Tiny Ruins']"
,,,Kryss,"['New Limit', 'Sensity World', 'DJ Sylvan', 'Piropo', 'Jerry Daley']"
,,,Current Joys,"['Surf Curse', 'Dream, Ivory', 'Strawberry Guy', 'VACATIONS', 'Salvia Palth']"
,,,Rosendo,"['Platero y tú', 'Barricada', 'La Fuga', 'Los Suaves', 'Leño']"
,,,Andrés Suárez,"['Marwan', 'Luis Ramiro', 'Fran Fernández', 'Diego Ojeda', 'Marwán']"
,,,Lescop,"['malik djoudi', 'Mathieu Boogaerts', 'RADIO ELVIS', 'Bertrand Belin', 'Flavien Berger']"
,,,SILVIO RODRÍGUEZ,[]
,,,Ivan Ferreiro,[]
,,,The xx,"['Oliver Sim', 'alt-J', 'Foals', 'Phoenix', 'Of Monsters and Men']"
,,,Mr. Kilombo,"['Pedro Pastor', 'TéCanela', 'El Niño de La Hipoteca', 'Antílopez', 'Sebastián Cortés']"
,,,Carlos Sadness,"['Love of Lesbian', 'Caloncho', 'Izal', 'Vetusta Morla', 'Supersubmarina']"
,,,Plums,[]
,,,The Barr Brothers,"['Horse Feathers', 'Great Lake Swimmers', 'Leif Vollebekk', 'Blind Pilot', 'Beta Radio']"
,,,Riki López,"['Daniel Higiénico', 'Javier Krahe', 'Los Petersellers', 'No Me Pises Que Llevo Chanclas', 'Los Gandules']"
,,,Mundo Chillon,"['Antílopez', 'El Niño de La Hipoteca', 'TéCanela', 'Dani Tejedor', 'Pedro Pastor']"
,,,Zenet,"['LA CANALLA', 'Juan Perro', 'Marlango', 'La Negra', 'Joan Chamorro']"
,,,Los Choclok,"['Panteón Rococó', 'Inspector', 'El Gran Silencio', 'La Mosca Tsé-Tsé', 'Los Estrambóticos']"
,,,Xoel López,"['Iván Ferreiro', 'Vetusta Morla', 'Sidonie', 'La Habitación Roja', 'Lori Meyers']"
,,,Ana Belén,"['Pedro Guerra', 'Luz Casal', 'Joan Manuel Serrat', 'Amaral', 'Rozalén']"
,,,Tall Heights,"['Henry Jamison', 'Darlingside', 'Old Sea Brigade', 'Beta Radio', 'Roo Panes']"
,,,Lamp,"['Minuano', 'Kaede', 'mamerico', 'Mei Ehara', 'pomodorosa']"
,,,Sam Wills,"['Christian Kuria', 'FIKA', 'Mac Ayres', 'Aaron Taylor', 'edbl']"
,,,Vetusta Morla,"['Izal', 'Supersubmarina', 'Viva Suecia', 'Love of Lesbian', 'Lori Meyers']"
,,,The Front Bottoms,"['MCCAFFERTY', 'Modern Baseball', 'Mom Jeans.', 'Sorority Noise', 'Slaughter Beach, Dog']"
,,,Fm Laeti,"['Mariama', ""Y'akoto"", 'Joe Bel', 'Awa Ly', 'Charles Pasi']"
,,,Jesper Ryom,"['Saison', 'Fort Romeau', 'Kaasi', 'Laurence Guy', 'Aleksandır']"
,,,Stu Larsen,"['Roo Panes', 'Old Sea Brigade', 'Dustin Tebbutt', 'Sons of the East', 'Harrison Storm']"
,,,Devendra Banhart,"['Vetiver', 'Kevin Morby', 'M. Ward', 'Timber Timbre', 'Akron/Family']"
,,,FKJ,"['FKJ, ((( O )))', 'Leisure', 'Franc Moody', 'Alina Baraz & Galimatias', 'Neil Frances']"
,,,Orquesta Sinfónica De La Región De Murcia,[]
,,,Cage the Elephant,"['Young the Giant', 'The Strokes', 'Cold War Kids', 'Arctic Monkeys', 'Portugal. The Man']"
,,,Alfa Mist,"['Yussef Dayes', '44th Move', 'Yussef Kamaal', 'Ashley Henry', 'Mansur Brown']"
,,,Chris Staples,"['Michael Nau', 'Jesse Woods', 'Jon and Roy', 'Fruit Bats', 'Damien Jurado']"
,,,Marwán,"['Andrés Suárez', 'Diego Ojeda', 'Fredi Leis', 'marazu', 'Marwan']"
,,,Grouplove,"['Atlas Genius', 'Young the Giant', 'Cold War Kids', 'Hippo Campus', 'Foster the People']"
,,,Wolf Alice,"['The Last Dinner Party', 'Wet Leg', 'Black Honey', 'The Big Moon', 'Sunflower Bean']"
,,,Cecilia,"['Mari Trini', 'Massiel', 'Myriam Hernández', 'Mecano', 'Ella Baila Sola']"
,,,Javier Ruibal,"['Diego Carrasco', 'Jorge Pardo', 'Son De La Frontera', 'José Mercé', 'Duquende']"
,,,Niños Mutantes,"['Sidonie', 'Lori Meyers', 'La Habitación Roja', 'León Benavente', 'Vetusta Morla']"
,,,Viceversa,"['Lizards Have Personalities', 'Caitlyn Bailey', 'Orion Pax', 'lobonabeat!', 'EK']"
,,,ODESZA,"['Kasbo', 'Slow Magic', 'Lane 8', 'Tourist', 'Ford.']"
,,,Kriss,"['Kriss Cologne', 'Burger', 'Spieltrieb', 'Strom & Wasser', 'Unkraut Liedermacher']"
,,,Sean Rowe,"['Sons of the East', 'Foy Vance', 'The White Buffalo', 'Avi Kaplan', 'Nathaniel Rateliff']"
,,,Estopa,"['Melendi', 'El Canto del Loco', 'Extremoduro', 'Pereza', 'Amaral']"
,,,No Vacation,"['RICEWINE', 'Vansire', 'Beach Vacation', 'Tokyo Tea Room', 'mellow fellow']"
,,,Radical Face,"['Electric President', 'Sea Wolf', 'Roo Panes', 'The Paper Kites', 'Old Sea Brigade']"
,,,Jasmine Thompson,"['Madilyn Bailey', 'James TW', 'Sofia Karlberg', 'Kina Grannis', 'Kurt Hugo Schneider']"
,,,Jackson Browne,"['James Taylor', 'John Hiatt', 'Van Morrison', 'Don Henley', 'Eagles']"
,,,Beta Radio,"['Austin Basham', 'Old Sea Brigade', 'Hayden Calnin', 'Woodlock', 'Ocie Elliott']"
,,,Caloncho,"['Little Jesus', 'Camilo Séptimo', 'León Larregui', 'Daniel, Me Estás Matando', 'Jósean Log']"
,,,High Density,"['Nacho Division', 'Aldus Haza', 'K.R.B.', 'PG2', 'Vatios']"
,,,Julia Minkin,"['Roosevelt', 'Délicieuse Musique', 'Solomun', 'Vicky Sometani', 'New Constellations']"
,,,Cats on Trees,"['Cocoon', 'Calogero', 'Julien Doré', 'Lilly Wood & The Prick', 'Jain']"
,,,Arctic Monkeys,"['The Last Shadow Puppets', 'Alex Turner', 'Miles Kane and the Death Ramps', 'Miles Kane', 'The Strokes']"
,,,Funambulista,"['David Otero', 'Ragdog', 'Comandante Twin', 'El Pescao', 'Rubén Pozo']"
,,,The Lumineers,"['Caamp', 'The Head and the Heart', 'Vance Joy', 'Mt. Joy', 'Mumford & Sons']"
,,,Mon Laferte,"['Natalia Lafourcade', 'Julieta Venegas', 'Gloria Trevi', 'Jesse & Joy', 'Bruses']"
,,,Biznaga,"['Yawners', 'La Plata', 'Karavana', 'Ortopedia Técnica', 'Aiko el grupo']"
,,,Sufjan Stevens,"['Angelo De Augustine', 'Bon Iver', 'Joanna Newsom', 'Fleet Foxes', 'Perfume Genius']"
,,,Phony Ppl,"['Topaz Jones', 'bLAck pARty', 'Leven Kali', 'Anderson .Paak', 'The Internet']"
,,,Fitz and the Tantrums,"['American Authors', 'Saint Motel', 'lovelytheband', 'Walk the Moon', 'AJR']"
,,,Jon and Roy,"['Ocie Elliott', 'Dekker', 'The National Forest', 'Frazey Ford', 'Nick Mulvey']"
,,,Iggy Pop,"['The Stooges', 'Iggy Pop & James Williamson', 'Lou Reed', 'David Bowie', 'Patti Smith']"
,,,Beach House,"['Alvvays', 'Slowdive', ""Melody's Echo Chamber"", 'Mazzy Star', 'Wild Nothing']"
,,,Darianna Everett,[]
,,,Leonard Cohen,"['Bob Dylan', 'Tom Waits', 'Nick Cave & the Bad Seeds', 'Joan Baez', 'Tim Buckley']"
,,,Peter Polycarpou,"['Original London Cast', 'Roger Allam', 'Gavin Creel', 'Brent Carver', 'Les Misérables: International Cast']"
,,,The Dø,"['Agar Agar', 'Moriarty', 'Cocoon', 'Jeanne Added', 'Lilly Wood & The Prick']"
,,,McEnroe,"['Nacho Vegas', 'León Benavente', 'The New Raemon & McEnroe', 'Sr. Chinarro', 'La Habitación Roja']"
,,,Monsieur Periné,"['Andrés Cepeda', 'Esteman', 'Bomba Estéreo', 'Aterciopelados', 'Juan Pablo Vega']"
,,,The Style Council,"['The Jam', 'Paul Weller', 'Aztec Camera', 'The Blow Monkeys', 'Prefab Sprout']"
,,,Joaquín Sabina,"['Joan Manuel Serrat', 'Luis Eduardo Aute', 'Ismael Serrano', 'Miguel Ríos', 'Café Quijano']"
,,,Ángel Stanich,"['Josele Santiago', 'Angel Stanich', 'Nacho Vegas', 'Vera Fauna', 'Venturi']"
,,,Lord Huron,"['Gregory Alan Isakov', 'The Lumineers', 'The Head and the Heart', 'Caamp', 'The Oh Hellos']"
,,,Manolo Tena,"['Cabaret Pop', 'Enrique Urquijo y Los Problemas', 'Miranda Warning', 'Los Sencillos', 'Nacho Garcia Vega']"
,,,Banda Joaquin Sabina,"['Jaime Asúa', 'Antonio García de Diego', 'Mara Barros', 'Pancho Varona', 'Víctor Manuel']"
,,,l'officina della camomilla,"['Canova', 'Calcutta', 'Prozac+', 'Gomma', 'I Cani']"
,,,Depeche Mode,"['Dave Gahan', 'Martin L. Gore', 'Recoil', 'Camouflage', 'New Order']"
,,,Mina,"['Ornella Vanoni', 'Patty Pravo', 'MinaCelentano', 'Anna Oxa', 'Mia Martini']"
,,,Pedro Guerra,"['Alejandro Filio', 'Luis Eduardo Aute', 'Silvio Rodríguez', 'Ana Belén', 'Pablo Milanés']"
,,,Bedroom,"['Acid Ghost', 'Castlebeat', 'Dream, Ivory', 'SALES', 'Yot Club']"
,,,Sourya,"['Oslo Swan', 'Roken Is Dodelijk', 'Botibol', 'Karaocake', 'Calc']"
,,,Dotan,"['Nielson', 'Kensington', 'Meau', 'Racoon', 'Suzan & Freek']"
,,,Neuman,"['Grises', 'Jero Romero', 'Egon Soda', 'Perro', 'Tuya']"
,,,Evenings,"['Thrupence', 'Blackbird Blackbird', 'Shlohmo', 'Sun Glitters', 'XXYYXX']"
,,,Santi Balmes,"['Carmen 113', 'ELYELLA', 'Comandante Twin', 'Renaldo & Clara', 'Joan Dausà']"
,,,Phillip Phillips,"['Vance Joy', 'Train', 'Myles Smith', 'OneRepublic', 'George Ezra']"
,,,Mara Barros,"['Jaime Asúa', 'Antonio García de Diego', 'Banda Joaquin Sabina', 'Pancho Varona', 'Rojas']"
,,,LIZ,"['That Kid', 'Namasenda', 'Hannah Diamond', 'Kim Petras', 'Slayyyter']"
,,,Zyra,"['Johnny Stanec', 'thisisNAMASTE', 'Laura newman', 'Noetic Nega', 'Tiziano Albanese']"
,,,Woodlock,"['Hayden Calnin', 'Riley Pearce', 'Harrison Storm', 'Hazlett', 'Sons of the East']"
,,,Izal,"['Viva Suecia', 'Vetusta Morla', 'Arde Bogotá', 'Supersubmarina', 'Lori Meyers']"
,,,BØRNS,"['Zella Day', 'Empire of the Sun', 'Troye Sivan', 'Stephen Sanchez', 'Lewis Del Mar']"
